706 -1.000000 -1.000000 1.000000
741 -1.000000 -1.000000 1.000000
780 1.000000 0.000000 0.000000
829 0.000000 1.000000 0.000000
880 0.000000 0.000000 1.000000
941 1.000000 0.000000 0.000000
1088 0.000000 1.000000 0.000000
1990 0.000000 0.000000 1.000000
2030 1.000000 0.000000 0.000000
2071 0.000000 1.000000 0.000000
2133 0.000000 0.000000 1.000000
2365 1.000000 0.000000 0.000000
4060 0.000000 1.000000 0.000000
4314 0.000000 0.000000 1.000000
4411 1.000000 0.000000 0.000000
4538 0.000000 1.000000 0.000000
4630 0.000000 0.000000 1.000000
6816 1.000000 0.000000 0.000000
6860 0.000000 1.000000 0.000000
6955 0.000000 0.000000 1.000000
7054 1.000000 0.000000 0.000000
7117 0.000000 1.000000 0.000000
7198 0.000000 0.000000 1.000000
7283 1.000000 0.000000 0.000000
7362 0.000000 1.000000 0.000000
7439 0.000000 0.000000 1.000000
0 1.000000 0.000000 0.000000
36 -1.000000 -1.000000 1.000000
123 1.000000 0.000000 0.000000
165 0.000000 1.000000 0.000000
208 0.000000 0.000000 1.000000
242 1.000000 0.000000 0.000000
270 0.000000 1.000000 0.000000
16088 0.000000 0.000000 1.000000
16127 -1.000000 -1.000000 1.000000
