0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
0 24 0 0 0 0 0
1 24 0 0 0 0 0
2 24 0 0 0 0 0
3 24 0 0 0 0 0
4 24 0 0 0 0 0
